"","brand1","Intuit","Microsoft","Symantec","Amazon","H&R Block","Corel","Kaspersky","Encore","Webroot","McAfee","Nuance Dragon","Nova","Apple","Roxio","The Learning Company","Avast","Garmin","Individual Software","Topics Entertainment","Trend Micro","Adobe","Rosetta Stone","Smith","Cyberlink","Sony","Acronis","Avanquest","Parallels","Riverdeep","LeapFrog"
"1","Intuit",0.0475469292504372,0.795172657807177,23.2930524929867,0.261773114944674,0.190164850962761,Inf,93.1610221465417,Inf,28.1821321949248,66.8073002749309,1.3872903502067,9.31572928714068,0.843613277477331,32.0163597872587,Inf,64.4194986813723,Inf,Inf,Inf,65.4264029678127,4.54611498521572,Inf,0.753313577262777,Inf,12.840181157,15.5249723868561,15.0364373441758,0.701757984168885,Inf,Inf
"2","Microsoft",19.1743180062988,0.118940040284531,7.52793129529656,0.616723237382023,63.7698153411933,11.7709576672076,19.2357365995103,35.0110272489705,59.8525806855492,5.91182695480055,Inf,10.386881955811,0.390061792870196,5.40874308118716,Inf,7.04182949907685,2.08278564019897,Inf,Inf,9.00609164036155,1.13423161647166,63.4245687613971,1.90893638099008,22.7197449986193,1.71377188801538,12.3643456428117,27.9422925312449,1.68300218828691,Inf,Inf
"3","Symantec",14.7114015745179,0.694421469753292,0.0145665589853052,0.147476598092938,105.420200015207,28.657797111425,0.244871580048574,Inf,0.767861794897298,0.115886040193464,Inf,2.2299911900922,0.596399712350035,1.60486483874016,Inf,0.302366346549025,Inf,Inf,Inf,0.214964723208247,3.34717798399311,Inf,0.48549725053741,17.0721983664224,0.388477915487772,0.337850401206559,Inf,13.4053001228585,Inf,Inf
"4","Amazon",Inf,Inf,Inf,1361.29874720367,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
"5","H&R Block",0.62392930439848,9.87983054581868,Inf,0.329931127767957,0.0235121744539996,Inf,28.1086777305998,Inf,85.0315350106651,176.375454716445,Inf,Inf,4.50597890001046,Inf,Inf,Inf,Inf,Inf,Inf,Inf,4.5202443635898,Inf,4.26170357089975,Inf,62.9550666117072,Inf,Inf,Inf,Inf,Inf
"6","Corel",42.756139422365,0.630587017886122,Inf,0.861732903803147,Inf,0.0261761192674847,38.2058079645911,9.65812726857985,Inf,14.1019183955092,Inf,7.16330223186237,3.14736675768777,1.40107471644308,Inf,Inf,Inf,Inf,Inf,Inf,0.103181602992643,Inf,2.31703290766405,0.441370373988159,0.290066546252287,Inf,7.70814907896159,30.7580383262433,Inf,Inf
"7","Kaspersky",124.214696195389,4.84256306001657,1.04070421520644,0.843084570258186,35.1358471632497,191.029039822956,0.0208606074419555,Inf,0.999319152106879,0.383518017131221,Inf,6.93691730597097,14.9624141091159,Inf,Inf,0.607211387050616,Inf,Inf,Inf,0.502262747170746,18.4072683597392,Inf,8.41427519499281,Inf,6.21490029253925,34.6818095413417,Inf,44.6789681888579,Inf,Inf
"8","Encore",Inf,0.236560994925476,0.350775769266171,0.072601974427678,Inf,2.41453181714496,2.33822432811352,0.00118612312303466,1.06100403792205,0.419194774808047,Inf,0.526079413800969,0.202956997774843,Inf,0.00864865009077654,0.606318107419132,Inf,0.0876097022182559,0.0143208167087534,0.307897559238197,0.297805595463441,1.28494229920109,0.212706248174131,Inf,0.392769458262133,3.50691529167884,Inf,1.12944911778006,0.00226395264145733,Inf
"9","Webroot",225.457057559398,5.10936664388834,1.90802021762359,0.763553209027703,Inf,Inf,0.381558221713536,Inf,0.0109667593698591,0.331271521722327,Inf,Inf,2.31577039973353,Inf,Inf,0.367374921095353,Inf,Inf,Inf,0.655027882160797,11.136762098759,Inf,2.54540161116691,Inf,9.40034456401247,8.39327279785178,Inf,Inf,Inf,Inf
"10","McAfee",155.883700641505,4.34519281177841,1.30603567298034,1.37979506509857,Inf,239.732612723657,1.61219610905161,Inf,3.51147813025667,0.0339352399889575,Inf,Inf,7.94417373438988,52.3585226567846,Inf,1.22856643027387,Inf,Inf,Inf,1.3586822883248,13.2001547022097,Inf,10.5595263345352,Inf,4.87463282522481,Inf,Inf,56.0700393387252,Inf,Inf
